visitor,visitor_score,home,home_score
Orlando Magic,87,Indiana Pacers,97
Chicago Bulls,95,Miami Heat,107
Los Angeles Clippers,103,Los Angeles Lakers,116
Brooklyn Nets,94,Cleveland Cavaliers,98
Boston Celtics,87,Toronto Raptors,93
Miami Heat,110,Philadelphia 76ers,114
Washington Wizards,102,Detroit Pistons,113
Milwaukee Bucks,83,New York Knicks,90
Indiana Pacers,95,New Orleans Pelicans,90
Orlando Magic,115,Minnesota Timberwolves,120
Charlotte Bobcats,83,Houston Rockets,96
Memphis Grizzlies,94,San Antonio Spurs,101
Atlanta Hawks,109,Dallas Mavericks,118
Oklahoma City Thunder,101,Utah Jazz,98
Portland Trail Blazers,91,Phoenix Suns,104
Denver Nuggets,88,Sacramento Kings,90
Los Angeles Lakers,94,Golden State Warriors,125
New York Knicks,81,Chicago Bulls,82
Golden State Warriors,115,Los Angeles Clippers,126
Cleveland Cavaliers,84,Charlotte Bobcats,90
New Orleans Pelicans,90,Orlando Magic,110
Philadelphia 76ers,109,Washington Wizards,102
Toronto Raptors,95,Atlanta Hawks,102
Milwaukee Bucks,105,Boston Celtics,98
Miami Heat,100,Brooklyn Nets,101
Dallas Mavericks,105,Houston Rockets,113
Detroit Pistons,108,Memphis Grizzlies,111
Oklahoma City Thunder,81,Minnesota Timberwolves,100
Portland Trail Blazers,113,Denver Nuggets,98
Utah Jazz,84,Phoenix Suns,87
Los Angeles Clippers,110,Sacramento Kings,101
San Antonio Spurs,91,Los Angeles Lakers,85
Cleveland Cavaliers,74,Indiana Pacers,89
Chicago Bulls,104,Philadelphia 76ers,107
Charlotte Bobcats,84,New Orleans Pelicans,105
Memphis Grizzlies,99,Dallas Mavericks,111
Toronto Raptors,97,Milwaukee Bucks,90
Houston Rockets,104,Utah Jazz,93
San Antonio Spurs,105,Portland Trail Blazers,115
Sacramento Kings,87,Golden State Warriors,98
Boston Celtics,77,Detroit Pistons,87
Washington Wizards,93,Miami Heat,103
Brooklyn Nets,86,Orlando Magic,107
Phoenix Suns,96,Oklahoma City Thunder,103
Minnesota Timberwolves,109,New York Knicks,100
Atlanta Hawks,103,Los Angeles Lakers,105
Minnesota Timberwolves,92,Cleveland Cavaliers,93
Golden State Warriors,110,Philadelphia 76ers,90
Boston Celtics,88,Memphis Grizzlies,95
Houston Rockets,118,Los Angeles Clippers,137
Miami Heat,104,Toronto Raptors,95
Utah Jazz,88,Brooklyn Nets,104
Indiana Pacers,99,Detroit Pistons,91
Charlotte Bobcats,102,New York Knicks,97
Phoenix Suns,104,New Orleans Pelicans,98
Los Angeles Lakers,104,Dallas Mavericks,123
San Antonio Spurs,102,Denver Nuggets,94
Houston Rockets,116,Portland Trail Blazers,101
Atlanta Hawks,105,Sacramento Kings,100
Toronto Raptors,90,Charlotte Bobcats,92
Chicago Bulls,80,Indiana Pacers,97
Los Angeles Clippers,90,Orlando Magic,98
Washington Wizards,116,Philadelphia 76ers,102
Utah Jazz,87,Boston Celtics,97
New Orleans Pelicans,99,Memphis Grizzlies,84
Cleveland Cavaliers,104,Milwaukee Bucks,109
