visitor,visitor_score,home,home_score
Golden State Warriors,106,Minnesota Timberwolves,93
Phoenix Suns,96,San Antonio Spurs,99
Dallas Mavericks,93,Oklahoma City Thunder,107
Los Angeles Clippers,97,Miami Heat,102
Atlanta Hawks,107,Denver Nuggets,109
Los Angeles Lakers,99,Houston Rockets,98
New York Knicks,101,Charlotte Bobcats,91
Toronto Raptors,84,Indiana Pacers,91
Boston Celtics,91,Orlando Magic,89
Cleveland Cavaliers,79,Philadelphia 76ers,94
Brooklyn Nets,108,Washington Wizards,112
Oklahoma City Thunder,119,Detroit Pistons,110
Utah Jazz,73,Chicago Bulls,97
Dallas Mavericks,108,Minnesota Timberwolves,116
Los Angeles Lakers,85,New Orleans Pelicans,96
Golden State Warriors,74,San Antonio Spurs,76
Denver Nuggets,103,Phoenix Suns,114
Sacramento Kings,91,Portland Trail Blazers,104
Utah Jazz,91,Toronto Raptors,115
Orlando Magic,94,Atlanta Hawks,104
Indiana Pacers,96,Brooklyn Nets,91
Philadelphia 76ers,125,Cleveland Cavaliers,127
Boston Celtics,111,Miami Heat,110
Los Angeles Clippers,107,Houston Rockets,94
Golden State Warriors,90,Memphis Grizzlies,108
Dallas Mavericks,91,Milwaukee Bucks,83
Portland Trail Blazers,96,Sacramento Kings,85
San Antonio Spurs,120,New York Knicks,89
Washington Wizards,105,Oklahoma City Thunder,106
New Orleans Pelicans,94,Phoenix Suns,101
Minnesota Timberwolves,113,Los Angeles Lakers,90
Atlanta Hawks,103,Charlotte Bobcats,94
Memphis Grizzlies,79,Indiana Pacers,95
San Antonio Spurs,109,Philadelphia 76ers,85
Orlando Magic,105,Boston Celtics,120
Cleveland Cavaliers,81,Chicago Bulls,96
Toronto Raptors,104,Houston Rockets,110
Denver Nuggets,100,Utah Jazz,81
Detroit Pistons,103,Portland Trail Blazers,109
Minnesota Timberwolves,107,Los Angeles Clippers,109
Milwaukee Bucks,95,Miami Heat,118
Washington Wizards,95,Dallas Mavericks,105
Detroit Pistons,95,Golden State Warriors,113
New Orleans Pelicans,95,Los Angeles Lakers,116
Milwaukee Bucks,91,Orlando Magic,94
Houston Rockets,117,Philadelphia 76ers,123
Charlotte Bobcats,89,Boston Celtics,83
New York Knicks,95,Atlanta Hawks,91
Toronto Raptors,103,Memphis Grizzlies,87
Cleveland Cavaliers,95,Minnesota Timberwolves,124
Washington Wizards,79,San Antonio Spurs,92
Los Angeles Lakers,99,Denver Nuggets,111
New Orleans Pelicans,105,Utah Jazz,111
Phoenix Suns,89,Portland Trail Blazers,90
Brooklyn Nets,86,Sacramento Kings,107
Oklahoma City Thunder,103,Los Angeles Clippers,111
Houston Rockets,109,New York Knicks,106
Oklahoma City Thunder,115,Golden State Warriors,116
Milwaukee Bucks,77,Indiana Pacers,104
Chicago Bulls,96,Toronto Raptors,80
Philadelphia 76ers,103,Atlanta Hawks,113
Portland Trail Blazers,109,Boston Celtics,96
Charlotte Bobcats,86,Cleveland Cavaliers,80
Dallas Mavericks,104,Miami Heat,110
Minnesota Timberwolves,113,Denver Nuggets,117
Brooklyn Nets,100,Phoenix Suns,98
San Antonio Spurs,91,Utah Jazz,82
Memphis Grizzlies,89,Los Angeles Lakers,86
Detroit Pistons,97,Sacramento Kings,90
Miami Heat,97,Charlotte Bobcats,81
Dallas Mavericks,108,Orlando Magic,100
Cleveland Cavaliers,103,Washington Wizards,96
Atlanta Hawks,110,New York Knicks,90
Indiana Pacers,94,Chicago Bulls,110
Denver Nuggets,111,Houston Rockets,122
Boston Celtics,88,Minnesota Timberwolves,106
Philadelphia 76ers,98,New Orleans Pelicans,135
Oklahoma City Thunder,92,Milwaukee Bucks,79
Utah Jazz,88,Golden State Warriors,102
Brooklyn Nets,103,Los Angeles Clippers,110
Portland Trail Blazers,118,Toronto Raptors,110
Memphis Grizzlies,97,Sacramento Kings,86
Detroit Pistons,99,Los Angeles Lakers,114
Portland Trail Blazers,108,Brooklyn Nets,98
Charlotte Bobcats,81,Chicago Bulls,86
Denver Nuggets,113,Oklahoma City Thunder,115
Philadelphia 76ers,94,Dallas Mavericks,97
Golden State Warriors,98,Utah Jazz,87
Memphis Grizzlies,106,Los Angeles Clippers,102
Minnesota Timberwolves,100,Washington Wizards,104
New York Knicks,86,Detroit Pistons,92
Atlanta Hawks,88,Miami Heat,104
Boston Celtics,85,Houston Rockets,109
Phoenix Suns,104,Sacramento Kings,107
Brooklyn Nets,91,Charlotte Bobcats,95
Washington Wizards,98,Cleveland Cavaliers,91
Indiana Pacers,103,New York Knicks,96
Miami Heat,120,Orlando Magic,92
Toronto Raptors,108,Philadelphia 76ers,98
Detroit Pistons,85,Atlanta Hawks,93
Portland Trail Blazers,91,Milwaukee Bucks,82
Los Angeles Clippers,102,Minnesota Timberwolves,98
Utah Jazz,98,New Orleans Pelicans,105
Boston Celtics,93,San Antonio Spurs,104
Sacramento Kings,113,Phoenix Suns,106
Houston Rockets,120,Dallas Mavericks,123
Memphis Grizzlies,88,Golden State Warriors,81
Los Angeles Clippers,91,Oklahoma City Thunder,105
Chicago Bulls,87,Denver Nuggets,97
Phoenix Suns,98,Charlotte Bobcats,91
Milwaukee Bucks,107,Philadelphia 76ers,115
Washington Wizards,88,Toronto Raptors,96
Indiana Pacers,97,Boston Celtics,82
Atlanta Hawks,96,Detroit Pistons,89
San Antonio Spurs,102,Memphis Grizzlies,86
Brooklyn Nets,81,Minnesota Timberwolves,111
Cleveland Cavaliers,100,New Orleans Pelicans,104
Utah Jazz,93,Dallas Mavericks,103
Chicago Bulls,95,Portland Trail Blazers,98
Golden State Warriors,95,Los Angeles Lakers,102
Sacramento Kings,102,Los Angeles Clippers,103
Philadelphia 76ers,98,Indiana Pacers,106
New York Knicks,89,Washington Wizards,98
Boston Celtics,94,Atlanta Hawks,87
Orlando Magic,99,Miami Heat,101
Minnesota Timberwolves,101,Houston Rockets,112
Charlotte Bobcats,96,Milwaukee Bucks,72
Cleveland Cavaliers,96,San Antonio Spurs,126
Dallas Mavericks,100,Denver Nuggets,102
Portland Trail Blazers,113,Golden State Warriors,101
Detroit Pistons,109,Brooklyn Nets,97
Chicago Bulls,82,Los Angeles Clippers,121
Phoenix Suns,104,Orlando Magic,96
Utah Jazz,73,Oklahoma City Thunder,95
Sacramento Kings,86,Los Angeles Lakers,100
Boston Celtics,96,Charlotte Bobcats,86
Minnesota Timberwolves,84,Indiana Pacers,98
Milwaukee Bucks,94,Detroit Pistons,113
Phoenix Suns,92,Miami Heat,107
Houston Rockets,93,Memphis Grizzlies,86
Denver Nuggets,110,Dallas Mavericks,96
New Orleans Pelicans,93,San Antonio Spurs,112
Chicago Bulls,83,Utah Jazz,89
New York Knicks,91,Portland Trail Blazers,102
Brooklyn Nets,102,Toronto Raptors,100
Los Angeles Lakers,111,Washington Wizards,116
Orlando Magic,109,Atlanta Hawks,92
Golden State Warriors,102,New Orleans Pelicans,101
Indiana Pacers,99,Charlotte Bobcats,74
Philadelphia 76ers,94,Orlando Magic,105
Memphis Grizzlies,100,Boston Celtics,93
Los Angeles Lakers,99,Brooklyn Nets,94
Miami Heat,95,Cleveland Cavaliers,84
Chicago Bulls,99,Detroit Pistons,79
Atlanta Hawks,84,Houston Rockets,113
Washington Wizards,100,Milwaukee Bucks,92
Denver Nuggets,117,Minnesota Timberwolves,110
San Antonio Spurs,88,Oklahoma City Thunder,94
Golden State Warriors,99,Dallas Mavericks,103
Portland Trail Blazers,106,Phoenix Suns,120
New York Knicks,80,Los Angeles Clippers,93
Milwaukee Bucks,76,Charlotte Bobcats,92
San Antonio Spurs,109,Orlando Magic,91
Miami Heat,90,Toronto Raptors,83
Dallas Mavericks,87,Atlanta Hawks,88
Cleveland Cavaliers,86,Boston Celtics,103
Los Angeles Lakers,106,Detroit Pistons,102
Brooklyn Nets,95,Houston Rockets,114
Washington Wizards,73,Indiana Pacers,93
Golden State Warriors,112,Oklahoma City Thunder,113
New Orleans Pelicans,121,Philadelphia 76ers,105
New York Knicks,95,Denver Nuggets,97
Phoenix Suns,112,Utah Jazz,101
Los Angeles Clippers,104,Sacramento Kings,98
Atlanta Hawks,101,Washington Wizards,108
Chicago Bulls,93,Cleveland Cavaliers,97
Brooklyn Nets,97,Memphis Grizzlies,88
Minnesota Timberwolves,112,Dallas Mavericks,106
Houston Rockets,112,San Antonio Spurs,106
Boston Celtics,85,Milwaukee Bucks,92
Utah Jazz,112,Phoenix Suns,104
Denver Nuggets,112,Toronto Raptors,98
Philadelphia 76ers,100,Detroit Pistons,115
Indiana Pacers,105,Los Angeles Clippers,100
Charlotte Bobcats,98,Miami Heat,99
Golden State Warriors,115,Sacramento Kings,113
Minnesota Timberwolves,103,Oklahoma City Thunder,113
New Orleans Pelicans,103,New York Knicks,99
Portland Trail Blazers,114,Los Angeles Lakers,108
Orlando Magic,80,Washington Wizards,98
New Orleans Pelicans,131,Chicago Bulls,128
Atlanta Hawks,100,San Antonio Spurs,102
Houston Rockets,103,Utah Jazz,109
Indiana Pacers,102,Portland Trail Blazers,106
Orlando Magic,125,Philadelphia 76ers,126
Milwaukee Bucks,100,Boston Celtics,108
Denver Nuggets,111,Brooklyn Nets,87
Detroit Pistons,107,Miami Heat,97
Phoenix Suns,91,Memphis Grizzlies,110
Charlotte Bobcats,82,Dallas Mavericks,89
Oklahoma City Thunder,97,Sacramento Kings,95
Toronto Raptors,103,Golden State Warriors,112
Denver Nuggets,88,Cleveland Cavaliers,98
Los Angeles Clippers,97,Atlanta Hawks,107
Phoenix Suns,97,Houston Rockets,88
Detroit Pistons,105,Milwaukee Bucks,98
Dallas Mavericks,100,New Orleans Pelicans,97
Indiana Pacers,95,Utah Jazz,86
Oklahoma City Thunder,104,Portland Trail Blazers,111
New York Knicks,113,Brooklyn Nets,83
Los Angeles Clippers,101,Memphis Grizzlies,81
Miami Heat,87,Chicago Bulls,107
Philadelphia 76ers,88,Charlotte Bobcats,105
Milwaukee Bucks,109,Washington Wizards,105
Cleveland Cavaliers,89,Atlanta Hawks,108
Denver Nuggets,98,Boston Celtics,106
Orlando Magic,83,New York Knicks,121
Golden State Warriors,83,Houston Rockets,105
Oklahoma City Thunder,109,New Orleans Pelicans,95
Toronto Raptors,97,Phoenix Suns,106
Utah Jazz,98,Portland Trail Blazers,130
Los Angeles Lakers,106,Sacramento Kings,100
Denver Nuggets,103,Philadelphia 76ers,92
Los Angeles Clippers,82,Cleveland Cavaliers,88
Detroit Pistons,92,Chicago Bulls,75
Golden State Warriors,108,Memphis Grizzlies,82
Miami Heat,103,Minnesota Timberwolves,82
Brooklyn Nets,90,Milwaukee Bucks,82
Indiana Pacers,111,San Antonio Spurs,100
Sacramento Kings,112,Utah Jazz,102
Dallas Mavericks,108,Portland Trail Blazers,106
Boston Celtics,114,New York Knicks,73
Miami Heat,110,Detroit Pistons,95
Orlando Magic,88,Houston Rockets,98
Indiana Pacers,94,Oklahoma City Thunder,118
Toronto Raptors,106,Los Angeles Lakers,94
Golden State Warriors,111,Charlotte Bobcats,115
Los Angeles Clippers,94,Philadelphia 76ers,83
Denver Nuggets,75,Washington Wizards,74
Orlando Magic,85,Memphis Grizzlies,94
Portland Trail Blazers,105,Utah Jazz,94
Dallas Mavericks,97,Sacramento Kings,112
New York Knicks,94,Cleveland Cavaliers,109
Miami Heat,84,Indiana Pacers,90
San Antonio Spurs,116,Toronto Raptors,103
Oklahoma City Thunder,101,Atlanta Hawks,92
Boston Celtics,96,Brooklyn Nets,104
Minnesota Timberwolves,121,Detroit Pistons,94
Milwaukee Bucks,78,Chicago Bulls,74
Phoenix Suns,114,Los Angeles Lakers,108
Orlando Magic,92,Charlotte Bobcats,83
Los Angeles Clippers,96,Boston Celtics,88
Oklahoma City Thunder,116,Memphis Grizzlies,100
San Antonio Spurs,109,Milwaukee Bucks,77
Philadelphia 76ers,99,Minnesota Timberwolves,106
Detroit Pistons,106,New Orleans Pelicans,111
Chicago Bulls,78,New York Knicks,83
Utah Jazz,122,Sacramento Kings,101
Dallas Mavericks,93,Golden State Warriors,95
Los Angeles Clippers,93,Brooklyn Nets,102
Houston Rockets,104,Portland Trail Blazers,111
Charlotte Bobcats,94,Indiana Pacers,99
Cleveland Cavaliers,109,Orlando Magic,100
Philadelphia 76ers,100,Toronto Raptors,108
Washington Wizards,99,Atlanta Hawks,101
New York Knicks,86,Boston Celtics,90
Brooklyn Nets,99,Detroit Pistons,103
Memphis Grizzlies,98,New Orleans Pelicans,104
Los Angeles Lakers,97,Oklahoma City Thunder,122
Chicago Bulls,91,Milwaukee Bucks,90
Minnesota Timberwolves,110,San Antonio Spurs,117
Utah Jazz,103,Denver Nuggets,93
Sacramento Kings,107,Phoenix Suns,116
Houston Rockets,116,Golden State Warriors,112
Los Angeles Lakers,88,Charlotte Bobcats,85
Los Angeles Clippers,113,Washington Wizards,97
Cleveland Cavaliers,107,Miami Heat,114
Atlanta Hawks,106,New York Knicks,111
Toronto Raptors,99,Chicago Bulls,77
Portland Trail Blazers,139,Philadelphia 76ers,105
Milwaukee Bucks,93,Dallas Mavericks,106
San Antonio Spurs,100,Utah Jazz,84
Portland Trail Blazers,111,Detroit Pistons,109
Minnesota Timberwolves,101,Memphis Grizzlies,93
Houston Rockets,91,Sacramento Kings,106
Orlando Magic,98,Oklahoma City Thunder,101
New Orleans Pelicans,93,Denver Nuggets,102
Golden State Warriors,102,Phoenix Suns,106
Detroit Pistons,101,Indiana Pacers,96
Los Angeles Lakers,100,Atlanta Hawks,114
Minnesota Timberwolves,97,Boston Celtics,101
Philadelphia 76ers,94,Brooklyn Nets,130
Utah Jazz,94,Miami Heat,117
Washington Wizards,102,New York Knicks,101
Orlando Magic,83,Chicago Bulls,82
San Antonio Spurs,92,Los Angeles Clippers,115
Sacramento Kings,87,Charlotte Bobcats,95
Portland Trail Blazers,119,Cleveland Cavaliers,116
Los Angeles Lakers,96,Memphis Grizzlies,92
Oklahoma City Thunder,105,Denver Nuggets,93
New Orleans Pelicans,93,Golden State Warriors,104
Indiana Pacers,94,Miami Heat,97
Utah Jazz,86,Orlando Magic,82
Charlotte Bobcats,104,Toronto Raptors,102
Sacramento Kings,107,Atlanta Hawks,124
Detroit Pistons,107,Boston Celtics,106
Washington Wizards,113,Brooklyn Nets,107
New York Knicks,107,Milwaukee Bucks,101
Portland Trail Blazers,109,Minnesota Timberwolves,120
Memphis Grizzlies,91,Dallas Mavericks,105
San Antonio Spurs,108,Phoenix Suns,101
Chicago Bulls,94,Houston Rockets,109
New Orleans Pelicans,95,Los Angeles Clippers,108
Chicago Bulls,95,Oklahoma City Thunder,107
San Antonio Spurs,104,Golden State Warriors,102
Brooklyn Nets,120,Philadelphia 76ers,121
Utah Jazz,85,Atlanta Hawks,118
Milwaukee Bucks,111,Cleveland Cavaliers,114
Charlotte Bobcats,116,Detroit Pistons,106
Sacramento Kings,103,Miami Heat,122
Houston Rockets,81,Indiana Pacers,114
Toronto Raptors,109,Dallas Mavericks,108
Phoenix Suns,103,Denver Nuggets,99
Minnesota Timberwolves,91,Los Angeles Lakers,104
Memphis Grizzlies,95,New York Knicks,87
Washington Wizards,106,Boston Celtics,99
Sacramento Kings,105,Orlando Magic,100
Utah Jazz,88,Charlotte Bobcats,85
Houston Rockets,114,Detroit Pistons,97
Cleveland Cavaliers,84,Chicago Bulls,100
Philadelphia 76ers,106,Milwaukee Bucks,116
Oklahoma City Thunder,113,San Antonio Spurs,100
Dallas Mavericks,108,Phoenix Suns,123
New Orleans Pelicans,107,Portland Trail Blazers,110
Los Angeles Lakers,83,Golden State Warriors,102
Denver Nuggets,91,Los Angeles Clippers,112
Boston Celtics,79,Indiana Pacers,106
Toronto Raptors,104,Oklahoma City Thunder,98
Minnesota Timberwolves,116,Los Angeles Clippers,120
Milwaukee Bucks,110,Charlotte Bobcats,111
Detroit Pistons,115,Cleveland Cavaliers,92
New York Knicks,103,Orlando Magic,98
Indiana Pacers,103,Brooklyn Nets,86
Atlanta Hawks,119,Miami Heat,121
Dallas Mavericks,111,Houston Rockets,104
Utah Jazz,94,Memphis Grizzlies,104
Toronto Raptors,99,San Antonio Spurs,112
Golden State Warriors,89,Denver Nuggets,81
Los Angeles Lakers,90,Phoenix Suns,117
New Orleans Pelicans,113,Sacramento Kings,100
Chicago Bulls,95,Brooklyn Nets,78
Oklahoma City Thunder,123,New York Knicks,94
Miami Heat,101,Los Angeles Lakers,95
Houston Rockets,111,San Antonio Spurs,98
Los Angeles Clippers,103,Golden State Warriors,105
Atlanta Hawks,127,Cleveland Cavaliers,125
Memphis Grizzlies,92,Houston Rockets,100
San Antonio Spurs,116,Dallas Mavericks,107
Los Angeles Clippers,112,Portland Trail Blazers,116
Oklahoma City Thunder,89,Charlotte Bobcats,85
Detroit Pistons,92,Orlando Magic,109
Milwaukee Bucks,93,Brooklyn Nets,104
Toronto Raptors,95,New York Knicks,83
Washington Wizards,98,Minnesota Timberwolves,120
Denver Nuggets,89,New Orleans Pelicans,105
Los Angeles Lakers,103,Utah Jazz,105
Miami Heat,103,Sacramento Kings,108
Phoenix Suns,86,Golden State Warriors,115
Cleveland Cavaliers,100,Boston Celtics,103
Brooklyn Nets,91,Indiana Pacers,105
New York Knicks,100,Toronto Raptors,115
Detroit Pistons,82,Washington Wizards,106
Charlotte Bobcats,116,Atlanta Hawks,118
Dallas Mavericks,105,Chicago Bulls,83
New Orleans Pelicans,98,Houston Rockets,107
Denver Nuggets,99,Memphis Grizzlies,120
Minnesota Timberwolves,117,Milwaukee Bucks,95
Philadelphia 76ers,101,Phoenix Suns,115
Miami Heat,108,Portland Trail Blazers,107
Utah Jazz,90,Los Angeles Clippers,98
Golden State Warriors,108,Cleveland Cavaliers,104
Atlanta Hawks,102,Orlando Magic,109
Houston Rockets,86,Oklahoma City Thunder,117
Sacramento Kings,104,San Antonio Spurs,112
Philadelphia 76ers,111,Los Angeles Lakers,104
Washington Wizards,106,Detroit Pistons,99
Chicago Bulls,95,Memphis Grizzlies,91
Dallas Mavericks,100,Minnesota Timberwolves,98
Portland Trail Blazers,108,New Orleans Pelicans,110
Miami Heat,97,Denver Nuggets,94
Charlotte Bobcats,80,Utah Jazz,83
Phoenix Suns,107,Los Angeles Clippers,88
Atlanta Hawks,92,Boston Celtics,91
Cleveland Cavaliers,76,Indiana Pacers,91
Golden State Warriors,94,Orlando Magic,81
Sacramento Kings,110,Houston Rockets,106
Brooklyn Nets,92,San Antonio Spurs,113
Toronto Raptors,85,Chicago Bulls,79
Portland Trail Blazers,98,Oklahoma City Thunder,94
Milwaukee Bucks,94,Los Angeles Lakers,79
Dallas Mavericks,87,Washington Wizards,78
Indiana Pacers,82,Toronto Raptors,95
New Orleans Pelicans,112,Minnesota Timberwolves,124
Philadelphia 76ers,114,Denver Nuggets,102
Charlotte Bobcats,85,Los Angeles Clippers,112
Orlando Magic,81,Cleveland Cavaliers,87
Golden State Warriors,123,Miami Heat,114
Boston Celtics,82,Chicago Bulls,94
Brooklyn Nets,95,Oklahoma City Thunder,93
New York Knicks,105,San Antonio Spurs,101
Memphis Grizzlies,99,Phoenix Suns,91
Milwaukee Bucks,87,Utah Jazz,96
Charlotte Bobcats,104,Portland Trail Blazers,134
Philadelphia 76ers,113,Sacramento Kings,104
Toronto Raptors,101,Washington Wizards,88
Golden State Warriors,101,Atlanta Hawks,100
New Orleans Pelicans,95,Boston Celtics,92
New York Knicks,100,Houston Rockets,102
Los Angeles Clippers,119,Dallas Mavericks,112
Memphis Grizzlies,108,Denver Nuggets,111
Utah Jazz,99,Los Angeles Lakers,110
New Orleans Pelicans,82,Indiana Pacers,99
Miami Heat,110,Orlando Magic,94
Cleveland Cavaliers,82,Brooklyn Nets,89
Atlanta Hawks,84,Chicago Bulls,91
Oklahoma City Thunder,115,Minnesota Timberwolves,111
Los Angeles Clippers,92,San Antonio Spurs,116
Milwaukee Bucks,100,Phoenix Suns,116
Philadelphia 76ers,101,Portland Trail Blazers,99
Charlotte Bobcats,113,Sacramento Kings,103
Memphis Grizzlies,112,Detroit Pistons,84
Indiana Pacers,82,Cleveland Cavaliers,78
Toronto Raptors,97,Miami Heat,102
Golden State Warriors,112,Washington Wizards,96
Boston Celtics,96,Oklahoma City Thunder,119
New York Knicks,92,Dallas Mavericks,80
Denver Nuggets,137,Los Angeles Lakers,115
Minnesota Timberwolves,126,Philadelphia 76ers,95
Atlanta Hawks,86,Brooklyn Nets,91
Orlando Magic,81,Los Angeles Clippers,101
Washington Wizards,97,Charlotte Bobcats,83
Philadelphia 76ers,93,Cleveland Cavaliers,111
Toronto Raptors,79,Indiana Pacers,86
New Orleans Pelicans,88,Miami Heat,107
Detroit Pistons,85,New York Knicks,89
Phoenix Suns,87,Chicago Bulls,92
San Antonio Spurs,110,Memphis Grizzlies,108
Golden State Warriors,101,Milwaukee Bucks,80
Los Angeles Lakers,97,Dallas Mavericks,110
Boston Celtics,98,Denver Nuggets,129
Oklahoma City Thunder,101,Utah Jazz,112
Portland Trail Blazers,119,Sacramento Kings,123
Dallas Mavericks,90,San Antonio Spurs,112
Detroit Pistons,91,Toronto Raptors,112
Indiana Pacers,87,Atlanta Hawks,97
Golden State Warriors,98,Brooklyn Nets,102
Los Angeles Lakers,99,Houston Rockets,113
Washington Wizards,102,New Orleans Pelicans,96
Phoenix Suns,104,Minnesota Timberwolves,103
Orlando Magic,94,Portland Trail Blazers,110
Boston Celtics,105,Los Angeles Clippers,111
Miami Heat,92,New York Knicks,102
Oklahoma City Thunder,88,Denver Nuggets,101
Washington Wizards,66,Indiana Pacers,93
Detroit Pistons,114,Philadelphia 76ers,104
Houston Rockets,80,Atlanta Hawks,83
Miami Heat,95,Brooklyn Nets,104
Phoenix Suns,99,Memphis Grizzlies,104
Charlotte Bobcats,92,Minnesota Timberwolves,119
Dallas Mavericks,107,New Orleans Pelicans,90
Chicago Bulls,81,Milwaukee Bucks,72
Cleveland Cavaliers,113,Utah Jazz,102
Orlando Magic,83,Sacramento Kings,103
Boston Celtics,97,Golden State Warriors,99
Los Angeles Lakers,87,Los Angeles Clippers,123
Brooklyn Nets,80,Toronto Raptors,96
Houston Rockets,114,Washington Wizards,107
Phoenix Suns,108,Detroit Pistons,110
New York Knicks,102,Philadelphia 76ers,92
Charlotte Bobcats,97,Chicago Bulls,103
Milwaukee Bucks,85,Oklahoma City Thunder,101
New Orleans Pelicans,107,Dallas Mavericks,110
Orlando Magic,94,Denver Nuggets,120
Boston Celtics,104,Portland Trail Blazers,112
Atlanta Hawks,101,Memphis Grizzlies,108
Cleveland Cavaliers,80,Sacramento Kings,124
Minnesota Timberwolves,86,San Antonio Spurs,104
Milwaukee Bucks,94,Toronto Raptors,116
Houston Rockets,104,Boston Celtics,92
Phoenix Suns,96,New York Knicks,98
Washington Wizards,102,Chicago Bulls,88
San Antonio Spurs,101,New Orleans Pelicans,95
Orlando Magic,88,Dallas Mavericks,107
Denver Nuggets,103,Utah Jazz,118
New York Knicks,98,Charlotte Bobcats,108
Sacramento Kings,92,Indiana Pacers,116
Oklahoma City Thunder,87,Memphis Grizzlies,90
Cleveland Cavaliers,120,Los Angeles Lakers,118
Chicago Bulls,128,Orlando Magic,125
Charlotte Bobcats,92,Philadelphia 76ers,95
Miami Heat,97,Washington Wizards,114
Toronto Raptors,83,Boston Celtics,88
Memphis Grizzlies,82,Milwaukee Bucks,77
Sacramento Kings,111,Minnesota Timberwolves,108
Houston Rockets,103,New Orleans Pelicans,100
Utah Jazz,105,San Antonio Spurs,109
Los Angeles Lakers,114,Phoenix Suns,121
Cleveland Cavaliers,96,Portland Trail Blazers,108
Denver Nuggets,123,Golden State Warriors,116
Dallas Mavericks,127,Los Angeles Clippers,129
Brooklyn Nets,127,Atlanta Hawks,110
New York Knicks,89,Indiana Pacers,117
Oklahoma City Thunder,104,Houston Rockets,92
Los Angeles Clippers,109,New York Knicks,95
Charlotte Bobcats,111,Orlando Magic,101
Miami Heat,101,Philadelphia 76ers,86
Minnesota Timberwolves,89,Toronto Raptors,94
Chicago Bulls,93,Washington Wizards,96
Los Angeles Lakers,107,Boston Celtics,104
Utah Jazz,110,Detroit Pistons,89
Sacramento Kings,90,Memphis Grizzlies,91
Portland Trail Blazers,109,San Antonio Spurs,100
Cleveland Cavaliers,117,Denver Nuggets,109
Dallas Mavericks,110,Phoenix Suns,107
Golden State Warriors,121,Oklahoma City Thunder,127
Los Angeles Clippers,92,Indiana Pacers,106
Detroit Pistons,104,Washington Wizards,98
Miami Heat,104,Charlotte Bobcats,96
Philadelphia 76ers,78,Chicago Bulls,103
Milwaukee Bucks,104,Houston Rockets,114
Utah Jazz,72,Minnesota Timberwolves,98
Golden State Warriors,97,New Orleans Pelicans,87
