visitor,visitor_score,home,home_score
Brooklyn Nets,109,Sacramento Kings,111
Detroit Pistons,96,Los Angeles Clippers,101
Orlando Magic,99,Washington Wizards,108
Dallas Mavericks,110,Houston Rockets,98
Cleveland Cavaliers,105,Milwaukee Bucks,108
Philadelphia 76ers,83,San Antonio Spurs,92
Denver Nuggets,81,Phoenix Suns,105
Brooklyn Nets,99,Golden State Warriors,107
New Orleans Pelicans,87,New York Knicks,95
Memphis Grizzlies,114,Minnesota Timberwolves,106
Portland Trail Blazers,94,Charlotte Hornets,106
Utah Jazz,97,Atlanta Hawks,96
Boston Celtics,100,Oklahoma City Thunder,85
Toronto Raptors,101,Sacramento Kings,107
Detroit Pistons,85,Los Angeles Lakers,97
Dallas Mavericks,92,Philadelphia 76ers,86
Indiana Pacers,95,Chicago Bulls,96
Boston Celtics,111,Houston Rockets,95
Oklahoma City Thunder,114,Memphis Grizzlies,122
Portland Trail Blazers,80,San Antonio Spurs,93
Los Angeles Lakers,101,Phoenix Suns,120
Milwaukee Bucks,86,Washington Wizards,115
Atlanta Hawks,88,Brooklyn Nets,90
Cleveland Cavaliers,99,Detroit Pistons,104
Minnesota Timberwolves,103,Miami Heat,91
Charlotte Hornets,94,New York Knicks,102
Denver Nuggets,115,New Orleans Pelicans,98
Toronto Raptors,110,Golden State Warriors,115
Brooklyn Nets,111,Charlotte Hornets,116
Minnesota Timberwolves,101,Orlando Magic,104
Indiana Pacers,112,Philadelphia 76ers,85
Dallas Mavericks,106,Boston Celtics,102
Sacramento Kings,97,Atlanta Hawks,103
Portland Trail Blazers,103,Houston Rockets,108
New Orleans Pelicans,103,Oklahoma City Thunder,110
Denver Nuggets,98,San Antonio Spurs,109
Toronto Raptors,89,Utah Jazz,93
Chicago Bulls,103,Phoenix Suns,97
Sacramento Kings,109,Miami Heat,116
Milwaukee Bucks,100,Cleveland Cavaliers,115
Golden State Warriors,124,Los Angeles Clippers,117
Philadelphia 76ers,88,Charlotte Hornets,113
Brooklyn Nets,95,Boston Celtics,120
Houston Rockets,84,Memphis Grizzlies,96
Detroit Pistons,96,Minnesota Timberwolves,86
San Antonio Spurs,90,New Orleans Pelicans,104
New York Knicks,93,Oklahoma City Thunder,90
Utah Jazz,93,Dallas Mavericks,102
Phoenix Suns,114,Denver Nuggets,107
Los Angeles Clippers,91,Portland Trail Blazers,102
Chicago Bulls,94,Golden State Warriors,106
Toronto Raptors,102,Los Angeles Lakers,91
Sacramento Kings,97,Orlando Magic,91
Milwaukee Bucks,86,Indiana Pacers,123
Atlanta Hawks,97,Cleveland Cavaliers,109
Washington Wizards,97,Detroit Pistons,95
New York Knicks,107,Houston Rockets,102
Philadelphia 76ers,91,Miami Heat,96
Memphis Grizzlies,82,San Antonio Spurs,92
Toronto Raptors,91,Los Angeles Clippers,80
Boston Celtics,101,Brooklyn Nets,111
Phoenix Suns,116,New Orleans Pelicans,122
Dallas Mavericks,114,Oklahoma City Thunder,117
Golden State Warriors,118,Denver Nuggets,105
Portland Trail Blazers,107,Los Angeles Lakers,93
Sacramento Kings,122,Charlotte Hornets,127
Orlando Magic,103,Cleveland Cavaliers,117
New York Knicks,78,Miami Heat,95
Detroit Pistons,88,Milwaukee Bucks,109
Philadelphia 76ers,95,Minnesota Timberwolves,100
Phoenix Suns,84,San Antonio Spurs,98
Oklahoma City Thunder,111,Utah Jazz,89
Indiana Pacers,123,Washington Wizards,106
Boston Celtics,97,Atlanta Hawks,121
Dallas Mavericks,96,Memphis Grizzlies,110
Los Angeles Clippers,111,Denver Nuggets,94
Chicago Bulls,93,Portland Trail Blazers,88
Los Angeles Lakers,77,Golden State Warriors,111
Washington Wizards,87,Charlotte Hornets,101
New York Knicks,91,Orlando Magic,100
Philadelphia 76ers,80,Boston Celtics,84
Miami Heat,81,Detroit Pistons,104
Cleveland Cavaliers,99,Toronto Raptors,103
Memphis Grizzlies,102,Houston Rockets,93
Sacramento Kings,129,Milwaukee Bucks,118
Atlanta Hawks,95,Minnesota Timberwolves,99
Brooklyn Nets,99,Oklahoma City Thunder,110
Dallas Mavericks,83,San Antonio Spurs,88
New Orleans Pelicans,120,Phoenix Suns,114
Utah Jazz,102,Los Angeles Clippers,91
Cleveland Cavaliers,95,Charlotte Hornets,90
Milwaukee Bucks,90,Orlando Magic,114
Washington Wizards,78,Boston Celtics,111
Miami Heat,97,New York Knicks,78
Philadelphia 76ers,114,Houston Rockets,116
Chicago Bulls,92,Indiana Pacers,104
Atlanta Hawks,116,Memphis Grizzlies,101
Detroit Pistons,87,Oklahoma City Thunder,103
San Antonio Spurs,91,Denver Nuggets,80
Golden State Warriors,135,Phoenix Suns,116
Minnesota Timberwolves,101,Sacramento Kings,91
New Orleans Pelicans,90,Los Angeles Clippers,111
Toronto Raptors,84,Washington Wizards,82
Brooklyn Nets,88,Cleveland Cavaliers,90
Denver Nuggets,81,Dallas Mavericks,92
Atlanta Hawks,88,San Antonio Spurs,108
New Orleans Pelicans,87,Utah Jazz,101
Los Angeles Lakers,96,Portland Trail Blazers,108
Sacramento Kings,101,Golden State Warriors,120
Milwaukee Bucks,82,Charlotte Hornets,87
Minnesota Timberwolves,99,Los Angeles Clippers,107
Detroit Pistons,83,Brooklyn Nets,87
Philadelphia 76ers,84,Memphis Grizzlies,92
Boston Celtics,91,Orlando Magic,110
Phoenix Suns,107,Toronto Raptors,102
Houston Rockets,116,New York Knicks,111
Indiana Pacers,107,Los Angeles Lakers,103
Houston Rockets,105,Detroit Pistons,116
Boston Celtics,105,Miami Heat,95
Oklahoma City Thunder,100,Atlanta Hawks,106
San Antonio Spurs,89,Chicago Bulls,92
Denver Nuggets,74,Milwaukee Bucks,92
Golden State Warriors,106,Utah Jazz,103
Dallas Mavericks,98,Sacramento Kings,112
Portland Trail Blazers,87,Los Angeles Clippers,102
Washington Wizards,97,Cleveland Cavaliers,85
Los Angeles Lakers,91,Philadelphia 76ers,103
Phoenix Suns,91,Brooklyn Nets,94
Orlando Magic,96,Minnesota Timberwolves,93
Memphis Grizzlies,113,New Orleans Pelicans,104
Dallas Mavericks,115,Portland Trail Blazers,112
Golden State Warriors,116,Charlotte Hornets,99
Los Angeles Lakers,108,Washington Wizards,104
Phoenix Suns,122,Detroit Pistons,127
Philadelphia 76ers,87,New York Knicks,99
Toronto Raptors,96,Atlanta Hawks,86
Denver Nuggets,90,Chicago Bulls,99
New Orleans Pelicans,101,Houston Rockets,108
Milwaukee Bucks,70,San Antonio Spurs,95
Indiana Pacers,103,Los Angeles Clippers,91
Oklahoma City Thunder,95,Miami Heat,97
Denver Nuggets,106,Toronto Raptors,105
Orlando Magic,103,Utah Jazz,94
San Antonio Spurs,103,Memphis Grizzlies,83
Indiana Pacers,111,Portland Trail Blazers,123
Boston Celtics,114,Sacramento Kings,97
Brooklyn Nets,91,New York Knicks,108
Phoenix Suns,106,Washington Wizards,109
Milwaukee Bucks,95,Detroit Pistons,102
Los Angeles Lakers,87,Atlanta Hawks,100
Houston Rockets,100,Dallas Mavericks,96
Cleveland Cavaliers,108,New Orleans Pelicans,114
Denver Nuggets,108,Philadelphia 76ers,105
Golden State Warriors,112,Toronto Raptors,109
Charlotte Hornets,102,Chicago Bulls,96
Sacramento Kings,113,Houston Rockets,120
Cleveland Cavaliers,84,Miami Heat,99
Portland Trail Blazers,109,Minnesota Timberwolves,103
New York Knicks,91,Milwaukee Bucks,106
Boston Celtics,105,San Antonio Spurs,108
Indiana Pacers,119,Utah Jazz,122
Orlando Magic,101,Los Angeles Clippers,103
Phoenix Suns,93,Memphis Grizzlies,95
Golden State Warriors,114,Brooklyn Nets,98
Los Angeles Lakers,91,Detroit Pistons,111
Dallas Mavericks,116,Washington Wizards,104
Sacramento Kings,95,Oklahoma City Thunder,98
Detroit Pistons,84,Charlotte Hornets,104
San Antonio Spurs,119,Philadelphia 76ers,68
Washington Wizards,114,Miami Heat,103
Dallas Mavericks,104,New York Knicks,97
Los Angeles Lakers,93,Toronto Raptors,102
Phoenix Suns,103,Chicago Bulls,101
Portland Trail Blazers,88,Milwaukee Bucks,90
Los Angeles Clippers,110,Minnesota Timberwolves,106
Boston Celtics,111,New Orleans Pelicans,93
Portland Trail Blazers,100,Cleveland Cavaliers,105
Golden State Warriors,131,Indiana Pacers,123
Houston Rockets,105,Brooklyn Nets,110
