visitor,visitor_score,home,home_score
Detroit Pistons,101,Memphis Grizzlies,103
Cleveland Cavaliers,95,San Antonio Spurs,99
Sacramento Kings,103,Utah Jazz,101
Los Angeles Lakers,98,Golden State Warriors,116
Washington Wizards,118,Indiana Pacers,104
Minnesota Timberwolves,93,Oklahoma City Thunder,113
Phoenix Suns,103,Boston Celtics,117
Portland Trail Blazers,116,Brooklyn Nets,104
Dallas Mavericks,83,Chicago Bulls,77
Atlanta Hawks,101,Milwaukee Bucks,108
Charlotte Hornets,107,New Orleans Pelicans,109
Miami Heat,98,Denver Nuggets,95
Cleveland Cavaliers,91,Houston Rockets,77
Milwaukee Bucks,105,Charlotte Hornets,92
Brooklyn Nets,86,Atlanta Hawks,114
Golden State Warriors,95,Detroit Pistons,113
Portland Trail Blazers,89,Philadelphia 76ers,114
Boston Celtics,119,Washington Wizards,117
New York Knicks,95,Memphis Grizzlies,103
Los Angeles Lakers,82,Utah Jazz,109
Sacramento Kings,110,Los Angeles Clippers,103
Phoenix Suns,87,Minnesota Timberwolves,117
Miami Heat,74,Oklahoma City Thunder,99
Dallas Mavericks,83,San Antonio Spurs,112
Indiana Pacers,126,Denver Nuggets,129
Houston Rockets,112,Los Angeles Lakers,95
Philadelphia 76ers,113,New York Knicks,119
Utah Jazz,119,Charlotte Hornets,124
Portland Trail Blazers,108,Washington Wizards,98
New Orleans Pelicans,99,Memphis Grizzlies,101
Chicago Bulls,111,Detroit Pistons,101
Orlando Magic,81,Atlanta Hawks,98
Brooklyn Nets,100,Toronto Raptors,112
Golden State Warriors,132,Cleveland Cavaliers,98
Boston Celtics,113,Dallas Mavericks,118
Houston Rockets,132,Los Angeles Clippers,140
Milwaukee Bucks,91,Miami Heat,79
Minnesota Timberwolves,99,New Orleans Pelicans,114
Oklahoma City Thunder,110,Denver Nuggets,104
Indiana Pacers,97,Phoenix Suns,94
Philadelphia 76ers,96,Orlando Magic,87
Miami Heat,87,Washington Wizards,106
Cleveland Cavaliers,91,Brooklyn Nets,78
Utah Jazz,111,New York Knicks,118
Boston Celtics,109,Toronto Raptors,115
Golden State Warriors,125,Chicago Bulls,94
Detroit Pistons,123,Houston Rockets,114
Charlotte Hornets,95,Oklahoma City Thunder,109
Minnesota Timberwolves,94,Dallas Mavericks,106
Sacramento Kings,112,Los Angeles Lakers,93
Atlanta Hawks,104,Portland Trail Blazers,98
Los Angeles Clippers,102,Cleveland Cavaliers,115
Detroit Pistons,99,New Orleans Pelicans,115
Memphis Grizzlies,102,Denver Nuggets,101
Atlanta Hawks,88,Sacramento Kings,91
San Antonio Spurs,117,Phoenix Suns,89
Charlotte Hornets,120,Orlando Magic,116
Chicago Bulls,101,Boston Celtics,110
Utah Jazz,108,Brooklyn Nets,86
Los Angeles Clippers,116,New York Knicks,88
Milwaukee Bucks,98,Houston Rockets,102
Miami Heat,81,Toronto Raptors,101
Oklahoma City Thunder,109,Dallas Mavericks,106
Indiana Pacers,110,Golden State Warriors,122
San Antonio Spurs,108,Los Angeles Lakers,95
New York Knicks,84,Charlotte Hornets,97
Milwaukee Bucks,99,New Orleans Pelicans,116
Memphis Grizzlies,101,Minnesota Timberwolves,106
Chicago Bulls,96,Cleveland Cavaliers,83
Atlanta Hawks,95,Phoenix Suns,98
Detroit Pistons,101,Denver Nuggets,104
Los Angeles Lakers,103,Portland Trail Blazers,121
Indiana Pacers,97,Sacramento Kings,108
Dallas Mavericks,104,Houston Rockets,115
Los Angeles Clippers,94,Toronto Raptors,112
Boston Celtics,112,Philadelphia 76ers,92
Oklahoma City Thunder,106,Brooklyn Nets,116
Minnesota Timberwolves,107,Cleveland Cavaliers,114
Boston Celtics,116,Washington Wizards,91
Miami Heat,89,Chicago Bulls,84
Orlando Magic,102,Memphis Grizzlies,108
Houston Rockets,112,New Orleans Pelicans,111
Atlanta Hawks,119,Denver Nuggets,105
Detroit Pistons,95,Utah Jazz,92
Charlotte Hornets,129,Sacramento Kings,128
San Antonio Spurs,90,Golden State Warriors,120
Los Angeles Clippers,91,Indiana Pacers,89
Phoenix Suns,103,Philadelphia 76ers,113
Miami Heat,102,Brooklyn Nets,98
Oklahoma City Thunder,128,New York Knicks,122
Washington Wizards,89,Toronto Raptors,106
Orlando Magic,100,Milwaukee Bucks,107
Sacramento Kings,97,Portland Trail Blazers,112
Dallas Mavericks,92,Los Angeles Lakers,90
Phoenix Suns,93,Cleveland Cavaliers,115
Denver Nuggets,103,Boston Celtics,111
Philadelphia 76ers,97,Detroit Pistons,110
Los Angeles Clippers,85,Atlanta Hawks,83
Oklahoma City Thunder,126,Minnesota Timberwolves,123
Houston Rockets,99,San Antonio Spurs,130
Charlotte Hornets,73,Utah Jazz,102
Dallas Mavericks,107,Golden State Warriors,127
Atlanta Hawks,92,Indiana Pacers,111
Denver Nuggets,117,Washington Wizards,113
Milwaukee Bucks,83,Memphis Grizzlies,103
Sacramento Kings,105,New Orleans Pelicans,114
New York Knicks,93,Toronto Raptors,103
Chicago Bulls,114,Los Angeles Lakers,91
Orlando Magic,94,Boston Celtics,113
Cleveland Cavaliers,114,Detroit Pistons,106
Phoenix Suns,84,New York Knicks,102
Miami Heat,107,Milwaukee Bucks,103
Houston Rockets,108,Oklahoma City Thunder,116
Brooklyn Nets,79,Dallas Mavericks,91
Minnesota Timberwolves,90,Utah Jazz,103
Charlotte Hornets,91,Portland Trail Blazers,109
Los Angeles Lakers,93,Los Angeles Clippers,105
Golden State Warriors,108,Philadelphia 76ers,105
Detroit Pistons,107,Toronto Raptors,111
Denver Nuggets,105,Indiana Pacers,109
Brooklyn Nets,103,New Orleans Pelicans,105
Washington Wizards,123,Houston Rockets,122
Sacramento Kings,117,Memphis Grizzlies,121
San Antonio Spurs,103,Cleveland Cavaliers,117
Chicago Bulls,93,Los Angeles Clippers,120
Atlanta Hawks,87,Miami Heat,105
Boston Celtics,114,Orlando Magic,119
Phoenix Suns,78,Dallas Mavericks,91
Golden State Warriors,116,New York Knicks,95
Minnesota Timberwolves,93,Portland Trail Blazers,96
Charlotte Hornets,101,Los Angeles Lakers,82
Cleveland Cavaliers,111,Indiana Pacers,106
Detroit Pistons,105,Brooklyn Nets,100
Dallas Mavericks,97,Atlanta Hawks,112
Memphis Grizzlies,110,New Orleans Pelicans,95
Washington Wizards,98,Oklahoma City Thunder,114
Orlando Magic,92,San Antonio Spurs,107
Toronto Raptors,93,Denver Nuggets,112
Chicago Bulls,96,Utah Jazz,105
Milwaukee Bucks,104,Sacramento Kings,111
Boston Celtics,97,New York Knicks,89
Miami Heat,102,Houston Rockets,115
Toronto Raptors,104,Phoenix Suns,97
Milwaukee Bucks,95,Portland Trail Blazers,107
Minnesota Timberwolves,115,Los Angeles Lakers,119
Cleveland Cavaliers,97,Charlotte Hornets,106
Atlanta Hawks,124,Philadelphia 76ers,86
Detroit Pistons,95,Boston Celtics,102
Indiana Pacers,114,Brooklyn Nets,100
Orlando Magic,114,Oklahoma City Thunder,117
Golden State Warriors,134,Washington Wizards,121
Miami Heat,93,Dallas Mavericks,90
New Orleans Pelicans,97,San Antonio Spurs,110
Denver Nuggets,81,Utah Jazz,85
Chicago Bulls,107,Sacramento Kings,102
Minnesota Timberwolves,108,Los Angeles Clippers,102
New York Knicks,105,Detroit Pistons,111
Houston Rockets,111,Phoenix Suns,105
Los Angeles Lakers,99,New Orleans Pelicans,96
Toronto Raptors,110,Portland Trail Blazers,103
Indiana Pacers,96,Atlanta Hawks,102
Miami Heat,98,Charlotte Hornets,95
Los Angeles Clippers,107,Orlando Magic,93
Philadelphia 76ers,94,Washington Wizards,106
Sacramento Kings,119,Brooklyn Nets,128
Boston Celtics,104,Cleveland Cavaliers,103
Memphis Grizzlies,91,New York Knicks,85
Chicago Bulls,110,Denver Nuggets,115
Milwaukee Bucks,81,Utah Jazz,84
San Antonio Spurs,116,Dallas Mavericks,90
Portland Trail Blazers,96,Houston Rockets,79
Washington Wizards,104,Charlotte Hornets,108
Detroit Pistons,104,Indiana Pacers,112
New Orleans Pelicans,84,Cleveland Cavaliers,99
Brooklyn Nets,98,Philadelphia 76ers,103
Dallas Mavericks,114,Memphis Grizzlies,110
Chicago Bulls,105,Minnesota Timberwolves,112
Los Angeles Lakers,102,San Antonio Spurs,106
Oklahoma City Thunder,108,Golden State Warriors,116
Utah Jazz,98,Phoenix Suns,89
Sacramento Kings,119,Boston Celtics,128
Denver Nuggets,101,New York Knicks,96
Atlanta Hawks,94,Orlando Magic,96
Los Angeles Clippers,100,Miami Heat,93
Chicago Bulls,91,Charlotte Hornets,108
Sacramento Kings,100,Cleveland Cavaliers,120
Los Angeles Lakers,87,Indiana Pacers,89
Los Angeles Clippers,98,Philadelphia 76ers,92
Denver Nuggets,104,Brooklyn Nets,105
Toronto Raptors,103,Detroit Pistons,89
Orlando Magic,117,Atlanta Hawks,110
Portland Trail Blazers,112,Memphis Grizzlies,106
New Orleans Pelicans,116,Minnesota Timberwolves,102
Oklahoma City Thunder,122,Phoenix Suns,106
San Antonio Spurs,119,Miami Heat,101
Boston Celtics,111,Milwaukee Bucks,112
Washington Wizards,111,New York Knicks,108
Utah Jazz,121,Dallas Mavericks,119
Houston Rockets,110,Golden State Warriors,123
Charlotte Hornets,117,Indiana Pacers,95
San Antonio Spurs,98,Orlando Magic,96
Sacramento Kings,114,Philadelphia 76ers,110
Los Angeles Clippers,134,Boston Celtics,139
Memphis Grizzlies,109,Brooklyn Nets,90
Denver Nuggets,103,Detroit Pistons,92
Atlanta Hawks,113,Chicago Bulls,90
Los Angeles Lakers,111,Cleveland Cavaliers,120
Toronto Raptors,112,Minnesota Timberwolves,117
Utah Jazz,96,New Orleans Pelicans,100
Golden State Warriors,112,Phoenix Suns,104
Houston Rockets,103,Portland Trail Blazers,116
Washington Wizards,92,Milwaukee Bucks,99
New Orleans Pelicans,95,Oklahoma City Thunder,121
Utah Jazz,89,Washington Wizards,103
Chicago Bulls,95,Cleveland Cavaliers,106
San Antonio Spurs,86,Los Angeles Clippers,105
Dallas Mavericks,104,Orlando Magic,110
Detroit Pistons,86,Washington Wizards,98
New York Knicks,98,Brooklyn Nets,109
Miami Heat,115,Atlanta Hawks,111
Toronto Raptors,106,Chicago Bulls,116
Minnesota Timberwolves,104,Memphis Grizzlies,109
Charlotte Hornets,98,Milwaukee Bucks,95
Philadelphia 76ers,114,New Orleans Pelicans,121
Indiana Pacers,101,Oklahoma City Thunder,98
Houston Rockets,116,Phoenix Suns,100
Golden State Warriors,105,Portland Trail Blazers,137
Denver Nuggets,110,Sacramento Kings,116
San Antonio Spurs,119,Los Angeles Lakers,113
Boston Celtics,93,Utah Jazz,111
Milwaukee Bucks,117,Atlanta Hawks,109
Washington Wizards,94,Miami Heat,114
New York Knicks,103,Minnesota Timberwolves,95
Golden State Warriors,115,Los Angeles Clippers,112
New Orleans Pelicans,111,Detroit Pistons,106
Cleveland Cavaliers,115,Oklahoma City Thunder,92
Boston Celtics,121,Denver Nuggets,101
San Antonio Spurs,118,Phoenix Suns,111
Charlotte Hornets,104,Brooklyn Nets,96
Indiana Pacers,105,Orlando Magic,102
Memphis Grizzlies,85,Toronto Raptors,98
Philadelphia 76ers,103,Dallas Mavericks,129
Los Angeles Lakers,115,Chicago Bulls,126
Utah Jazz,111,Portland Trail Blazers,115
Detroit Pistons,96,Cleveland Cavaliers,88
Indiana Pacers,93,Miami Heat,101
Toronto Raptors,122,New York Knicks,95
Golden State Warriors,102,Atlanta Hawks,92
Los Angeles Lakers,101,Milwaukee Bucks,108
Boston Celtics,122,Minnesota Timberwolves,124
Phoenix Suns,84,Los Angeles Clippers,124
Orlando Magic,124,Philadelphia 76ers,115
New Orleans Pelicans,89,Washington Wizards,109
Sacramento Kings,114,Denver Nuggets,110
Houston Rockets,114,Utah Jazz,117
Brooklyn Nets,104,Portland Trail Blazers,112
Charlotte Hornets,103,Cleveland Cavaliers,114
New York Knicks,105,Indiana Pacers,108
Philadelphia 76ers,91,Detroit Pistons,111
Golden State Warriors,118,Miami Heat,112
Minnesota Timberwolves,105,Toronto Raptors,114
Washington Wizards,104,Chicago Bulls,109
Los Angeles Lakers,119,Memphis Grizzlies,128
Oklahoma City Thunder,116,Dallas Mavericks,103
Denver Nuggets,87,Los Angeles Clippers,81
San Antonio Spurs,108,Sacramento Kings,92
Golden State Warriors,130,Orlando Magic,114
Milwaukee Bucks,107,Boston Celtics,112
Oklahoma City Thunder,119,New Orleans Pelicans,123
Brooklyn Nets,116,Phoenix Suns,106
Houston Rockets,119,Portland Trail Blazers,105
San Antonio Spurs,96,Utah Jazz,78
Charlotte Hornets,96,Indiana Pacers,95
Washington Wizards,103,Philadelphia 76ers,94
Orlando Magic,95,New York Knicks,108
Cleveland Cavaliers,97,Toronto Raptors,99
Chicago Bulls,88,Atlanta Hawks,103
Denver Nuggets,116,Dallas Mavericks,122
Los Angeles Clippers,117,Sacramento Kings,107
Memphis Grizzlies,112,Los Angeles Lakers,95
Miami Heat,89,Boston Celtics,101
Minnesota Timberwolves,112,New Orleans Pelicans,110
Portland Trail Blazers,103,Chicago Bulls,95
San Antonio Spurs,104,Houston Rockets,94
Detroit Pistons,102,Milwaukee Bucks,91
Golden State Warriors,121,Oklahoma City Thunder,118
Memphis Grizzlies,106,Phoenix Suns,111
Brooklyn Nets,98,Utah Jazz,96
Cleveland Cavaliers,99,Washington Wizards,113
Charlotte Hornets,76,Atlanta Hawks,87
Toronto Raptors,101,Detroit Pistons,114
Portland Trail Blazers,111,Indiana Pacers,102
Philadelphia 76ers,116,Orlando Magic,130
Minnesota Timberwolves,101,Dallas Mavericks,128
Miami Heat,98,New York Knicks,81
Indiana Pacers,96,Cleveland Cavaliers,100
Philadelphia 76ers,108,Washington Wizards,116
Utah Jazz,95,Boston Celtics,100
Houston Rockets,121,Milwaukee Bucks,128
Memphis Grizzlies,103,Denver Nuggets,96
Oklahoma City Thunder,131,Sacramento Kings,116
Brooklyn Nets,95,Los Angeles Clippers,105
Phoenix Suns,92,Charlotte Hornets,126
Chicago Bulls,111,Miami Heat,129
Portland Trail Blazers,104,New York Knicks,85
Orlando Magic,108,Dallas Mavericks,121
Atlanta Hawks,105,Golden State Warriors,109
Brooklyn Nets,101,Los Angeles Lakers,107
Chicago Bulls,89,Orlando Magic,102
Charlotte Hornets,119,Philadelphia 76ers,99
Portland Trail Blazers,93,Boston Celtics,116
Utah Jazz,94,Toronto Raptors,104
New Orleans Pelicans,95,Houston Rockets,100
Sacramento Kings,98,Memphis Grizzlies,104
Indiana Pacers,104,Milwaukee Bucks,99
Washington Wizards,104,Minnesota Timberwolves,98
Detroit Pistons,81,San Antonio Spurs,97
Los Angeles Lakers,107,Denver Nuggets,117
Oklahoma City Thunder,98,Los Angeles Clippers,103
Phoenix Suns,92,Miami Heat,108
San Antonio Spurs,94,New Orleans Pelicans,86
Sacramento Kings,104,Dallas Mavericks,101
Oklahoma City Thunder,106,Golden State Warriors,121
Indiana Pacers,101,Charlotte Hornets,108
Phoenix Suns,102,Orlando Magic,84
Miami Heat,112,Philadelphia 76ers,102
New York Knicks,104,Boston Celtics,105
Portland Trail Blazers,115,Toronto Raptors,117
Washington Wizards,83,Cleveland Cavaliers,108
Utah Jazz,88,Memphis Grizzlies,94
Minnesota Timberwolves,101,Milwaukee Bucks,116
Brooklyn Nets,121,Denver Nuggets,120
Atlanta Hawks,106,Los Angeles Lakers,77
Boston Celtics,103,Cleveland Cavaliers,120
Utah Jazz,106,New Orleans Pelicans,94
Detroit Pistons,89,New York Knicks,102
Indiana Pacers,100,Washington Wizards,99
Brooklyn Nets,118,Minnesota Timberwolves,132
Houston Rockets,100,Chicago Bulls,108
Sacramento Kings,94,San Antonio Spurs,104
Atlanta Hawks,107,Los Angeles Clippers,97
Golden State Warriors,95,Los Angeles Lakers,112
Oklahoma City Thunder,104,Milwaukee Bucks,96
Phoenix Suns,109,Memphis Grizzlies,100
Dallas Mavericks,114,Denver Nuggets,116
Portland Trail Blazers,103,Detroit Pistons,123
Philadelphia 76ers,98,Miami Heat,103
Houston Rockets,113,Toronto Raptors,107
Minnesota Timberwolves,103,Charlotte Hornets,108
Memphis Grizzlies,106,Cleveland Cavaliers,103
San Antonio Spurs,91,Indiana Pacers,99
Milwaukee Bucks,90,Chicago Bulls,100
Sacramento Kings,112,New Orleans Pelicans,115
Los Angeles Clippers,109,Dallas Mavericks,90
Orlando Magic,113,Golden State Warriors,119
Brooklyn Nets,99,Toronto Raptors,104
San Antonio Spurs,116,Minnesota Timberwolves,91
New York Knicks,94,Denver Nuggets,110
Atlanta Hawks,91,Utah Jazz,84
Washington Wizards,109,Portland Trail Blazers,116
Orlando Magic,98,Los Angeles Lakers,107
Memphis Grizzlies,96,Boston Celtics,116
New Orleans Pelicans,113,Charlotte Hornets,122
Houston Rockets,118,Philadelphia 76ers,104
Miami Heat,108,Milwaukee Bucks,114
Detroit Pistons,102,Dallas Mavericks,96
New York Knicks,128,Phoenix Suns,97
Los Angeles Clippers,108,Oklahoma City Thunder,120
Cleveland Cavaliers,120,Sacramento Kings,111
Utah Jazz,94,Golden State Warriors,115
Atlanta Hawks,96,Toronto Raptors,104
Chicago Bulls,101,San Antonio Spurs,109
Phoenix Suns,98,Denver Nuggets,116
Cleveland Cavaliers,120,Los Angeles Lakers,108
Detroit Pistons,103,Charlotte Hornets,118
Brooklyn Nets,89,Philadelphia 76ers,95
Houston Rockets,102,Boston Celtics,98
Miami Heat,118,Chicago Bulls,96
New Orleans Pelicans,114,Memphis Grizzlies,121
Minnesota Timberwolves,99,Oklahoma City Thunder,96
Washington Wizards,93,Utah Jazz,114
Orlando Magic,107,Sacramento Kings,100
Portland Trail Blazers,112,Golden State Warriors,128
New York Knicks,94,Los Angeles Clippers,101
Indiana Pacers,112,Dallas Mavericks,105
Houston Rockets,109,Charlotte Hornets,125
Detroit Pistons,125,Philadelphia 76ers,111
Miami Heat,104,Toronto Raptors,112
Memphis Grizzlies,83,Atlanta Hawks,95
New Orleans Pelicans,92,Milwaukee Bucks,103
Oklahoma City Thunder,85,San Antonio Spurs,93
Washington Wizards,100,Denver Nuggets,116
Phoenix Suns,116,Golden State Warriors,123
Orlando Magic,84,Portland Trail Blazers,121
Cleveland Cavaliers,114,Los Angeles Clippers,90
Indiana Pacers,75,Atlanta Hawks,104
Utah Jazz,108,Sacramento Kings,99
Milwaukee Bucks,109,Brooklyn Nets,100
New York Knicks,90,Los Angeles Lakers,87
Dallas Mavericks,107,Charlotte Hornets,96
Denver Nuggets,119,Miami Heat,124
Chicago Bulls,109,Toronto Raptors,107
Memphis Grizzlies,81,Houston Rockets,130
Portland Trail Blazers,94,Oklahoma City Thunder,128
Detroit Pistons,81,Washington Wizards,124
Minnesota Timberwolves,104,Phoenix Suns,107
New Orleans Pelicans,107,Golden State Warriors,125
Cleveland Cavaliers,85,Utah Jazz,94
Boston Celtics,98,Indiana Pacers,103
Denver Nuggets,110,Orlando Magic,116
Philadelphia 76ers,114,Brooklyn Nets,131
Toronto Raptors,107,Milwaukee Bucks,89
Los Angeles Clippers,87,San Antonio Spurs,108
Sacramento Kings,106,Los Angeles Lakers,98
Oklahoma City Thunder,130,Boston Celtics,109
Orlando Magic,99,Charlotte Hornets,107
Dallas Mavericks,98,Cleveland Cavaliers,99
Chicago Bulls,96,Washington Wizards,117
Atlanta Hawks,118,Detroit Pistons,114
Minnesota Timberwolves,114,Memphis Grizzlies,108
Los Angeles Clippers,122,Houston Rockets,106
New Orleans Pelicans,123,Sacramento Kings,108
New York Knicks,85,Golden State Warriors,121
Toronto Raptors,101,Indiana Pacers,94
Washington Wizards,99,Philadelphia 76ers,94
Charlotte Hornets,109,Miami Heat,106
Denver Nuggets,98,Atlanta Hawks,116
Brooklyn Nets,102,Chicago Bulls,118
Memphis Grizzlies,86,Milwaukee Bucks,96
Portland Trail Blazers,110,San Antonio Spurs,118
Phoenix Suns,69,Utah Jazz,103
Cleveland Cavaliers,109,Orlando Magic,103
Oklahoma City Thunder,111,Philadelphia 76ers,97
Sacramento Kings,108,Detroit Pistons,115
Boston Celtics,91,Toronto Raptors,105
Minnesota Timberwolves,111,Houston Rockets,116
Portland Trail Blazers,117,New Orleans Pelicans,112
Golden State Warriors,130,Dallas Mavericks,112
Phoenix Suns,95,Los Angeles Lakers,90
Denver Nuggets,101,Charlotte Hornets,93
Brooklyn Nets,103,Detroit Pistons,115
Oklahoma City Thunder,115,Indiana Pacers,111
New York Knicks,89,Washington Wizards,99
Houston Rockets,97,Atlanta Hawks,109
Cleveland Cavaliers,101,Miami Heat,122
Utah Jazz,85,Chicago Bulls,92
Los Angeles Clippers,102,Memphis Grizzlies,113
Golden State Warriors,79,San Antonio Spurs,87
Portland Trail Blazers,120,Dallas Mavericks,132
Orlando Magic,100,Toronto Raptors,105
Los Angeles Clippers,105,New Orleans Pelicans,109
Boston Celtics,120,Philadelphia 76ers,105
Utah Jazz,94,Milwaukee Bucks,85
Sacramento Kings,88,New York Knicks,80
San Antonio Spurs,88,Charlotte Hornets,91
Denver Nuggets,91,Cleveland Cavaliers,124
Philadelphia 76ers,75,Indiana Pacers,91
Orlando Magic,96,Boston Celtics,107
Milwaukee Bucks,91,Detroit Pistons,92
Washington Wizards,117,Atlanta Hawks,102
Sacramento Kings,102,Chicago Bulls,109
Golden State Warriors,109,Minnesota Timberwolves,104
Memphis Grizzlies,103,Phoenix Suns,97
Charlotte Hornets,105,Brooklyn Nets,100
Miami Heat,113,New Orleans Pelicans,99
Houston Rockets,107,Oklahoma City Thunder,111
Memphis Grizzlies,100,Los Angeles Lakers,107
Milwaukee Bucks,104,Cleveland Cavaliers,113
Atlanta Hawks,122,Washington Wizards,101
Toronto Raptors,79,Boston Celtics,91
Orlando Magic,102,Detroit Pistons,118
New York Knicks,115,Chicago Bulls,107
Utah Jazz,89,Houston Rockets,87
Sacramento Kings,104,Minnesota Timberwolves,113
Miami Heat,88,San Antonio Spurs,112
Philadelphia 76ers,103,Denver Nuggets,104
Los Angeles Lakers,107,Phoenix Suns,119
Dallas Mavericks,103,Portland Trail Blazers,109
Los Angeles Clippers,98,Golden State Warriors,114
New Orleans Pelicans,84,Indiana Pacers,92
Cleveland Cavaliers,95,Brooklyn Nets,104
Chicago Bulls,94,New York Knicks,106
Utah Jazz,91,Oklahoma City Thunder,113
Portland Trail Blazers,94,Los Angeles Clippers,96
Minnesota Timberwolves,132,Washington Wizards,129
Charlotte Hornets,105,Detroit Pistons,112
Milwaukee Bucks,90,Atlanta Hawks,101
Toronto Raptors,109,Houston Rockets,112
Orlando Magic,97,Miami Heat,108
Memphis Grizzlies,104,San Antonio Spurs,110
Phoenix Suns,94,Sacramento Kings,116
Dallas Mavericks,120,Golden State Warriors,128
Denver Nuggets,116,Los Angeles Lakers,105
Indiana Pacers,110,Brooklyn Nets,120
Toronto Raptors,115,New Orleans Pelicans,91
Chicago Bulls,89,Orlando Magic,111
Atlanta Hawks,112,Detroit Pistons,95
Cleveland Cavaliers,107,New York Knicks,93
Utah Jazz,93,Minnesota Timberwolves,84
San Antonio Spurs,92,Oklahoma City Thunder,111
Charlotte Hornets,115,Milwaukee Bucks,91
Boston Celtics,102,Phoenix Suns,99
Philadelphia 76ers,105,Portland Trail Blazers,108
Denver Nuggets,90,Los Angeles Clippers,105
Houston Rockets,101,Indiana Pacers,104
Dallas Mavericks,111,Sacramento Kings,133
Philadelphia 76ers,105,Golden State Warriors,117
Washington Wizards,101,Los Angeles Lakers,88
Brooklyn Nets,99,Miami Heat,110
Oklahoma City Thunder,119,Toronto Raptors,100
Atlanta Hawks,102,Chicago Bulls,100
San Antonio Spurs,101,Memphis Grizzlies,87
Phoenix Suns,116,Minnesota Timberwolves,121
New York Knicks,91,New Orleans Pelicans,99
Dallas Mavericks,97,Denver Nuggets,88
Los Angeles Lakers,75,Utah Jazz,123
Sacramento Kings,93,Portland Trail Blazers,105
Boston Celtics,90,Los Angeles Clippers,114
Chicago Bulls,98,Indiana Pacers,96
Brooklyn Nets,105,Orlando Magic,139
Charlotte Hornets,100,Philadelphia 76ers,85
Oklahoma City Thunder,82,Detroit Pistons,88
Houston Rockets,106,Cleveland Cavaliers,100
Washington Wizards,94,Golden State Warriors,102
Atlanta Hawks,97,Toronto Raptors,105
Denver Nuggets,109,Memphis Grizzlies,105
Phoenix Suns,94,Milwaukee Bucks,105
Los Angeles Clippers,99,Minnesota Timberwolves,79
New York Knicks,89,Dallas Mavericks,91
New Orleans Pelicans,92,San Antonio Spurs,100
Golden State Warriors,103,Utah Jazz,96
Washington Wizards,111,Sacramento Kings,120
Miami Heat,100,Los Angeles Lakers,102
Brooklyn Nets,87,Cleveland Cavaliers,107
Chicago Bulls,103,Houston Rockets,100
Orlando Magic,114,Indiana Pacers,94
Denver Nuggets,95,New Orleans Pelicans,101
Los Angeles Clippers,117,Oklahoma City Thunder,119
Boston Celtics,109,Portland Trail Blazers,116
Philadelphia 76ers,91,Charlotte Hornets,100
Dallas Mavericks,98,Detroit Pistons,89
Brooklyn Nets,91,New York Knicks,105
Cleveland Cavaliers,110,Atlanta Hawks,108
Toronto Raptors,99,Memphis Grizzlies,95
Orlando Magic,110,Milwaukee Bucks,113
Minnesota Timberwolves,85,Utah Jazz,98
Miami Heat,112,Sacramento Kings,106
Boston Celtics,109,Golden State Warriors,106
Washington Wizards,106,Phoenix Suns,99
Indiana Pacers,115,Philadelphia 76ers,102
Detroit Pistons,94,Chicago Bulls,90
Toronto Raptors,95,San Antonio Spurs,102
Sacramento Kings,115,Denver Nuggets,106
Miami Heat,93,Portland Trail Blazers,110
New Orleans Pelicans,106,Brooklyn Nets,87
Charlotte Hornets,103,Cleveland Cavaliers,112
Oklahoma City Thunder,110,Houston Rockets,118
Washington Wizards,109,Los Angeles Clippers,114
Dallas Mavericks,88,Minnesota Timberwolves,78
Memphis Grizzlies,107,Orlando Magic,119
Utah Jazz,101,Phoenix Suns,86
Chicago Bulls,102,Milwaukee Bucks,98
Indiana Pacers,92,New York Knicks,87
Portland Trail Blazers,111,Golden State Warriors,136
Boston Celtics,107,Los Angeles Lakers,100
New Orleans Pelicans,93,Philadelphia 76ers,107
Charlotte Hornets,90,Toronto Raptors,96
Phoenix Suns,90,Atlanta Hawks,103
Chicago Bulls,92,Memphis Grizzlies,108
Detroit Pistons,89,Miami Heat,107
Cleveland Cavaliers,109,Milwaukee Bucks,80
Oklahoma City Thunder,124,Denver Nuggets,102
San Antonio Spurs,88,Utah Jazz,86
Portland Trail Blazers,115,Sacramento Kings,107
Minnesota Timberwolves,124,Golden State Warriors,117
Los Angeles Lakers,81,Los Angeles Clippers,103
Cleveland Cavaliers,109,Indiana Pacers,123
Detroit Pistons,108,Orlando Magic,104
Brooklyn Nets,103,Washington Wizards,121
New Orleans Pelicans,97,Boston Celtics,104
Charlotte Hornets,111,New York Knicks,97
Houston Rockets,86,Dallas Mavericks,88
Oklahoma City Thunder,115,Portland Trail Blazers,120
Los Angeles Clippers,91,Los Angeles Lakers,81
Toronto Raptors,87,Atlanta Hawks,95
Phoenix Suns,124,Houston Rockets,115
Chicago Bulls,98,Miami Heat,106
Minnesota Timberwolves,105,Sacramento Kings,97
San Antonio Spurs,101,Golden State Warriors,112
Brooklyn Nets,99,Charlotte Hornets,113
Miami Heat,109,Orlando Magic,112
New York Knicks,109,Philadelphia 76ers,102
Milwaukee Bucks,109,Boston Celtics,124
Washington Wizards,99,Detroit Pistons,112
Indiana Pacers,98,Toronto Raptors,111
Los Angeles Lakers,102,New Orleans Pelicans,110
Memphis Grizzlies,93,Dallas Mavericks,103
San Antonio Spurs,98,Denver Nuggets,102
Los Angeles Clippers,102,Utah Jazz,99
Phoenix Suns,121,New Orleans Pelicans,100
Boston Celtics,107,Atlanta Hawks,118
