points_scored,ppg,opponent_ppg,win_perc,opponnent_win_perc,last_10_win_perc,opponent_last_10_win_perc
110,99.75,99.0,0.5,0.75,0.5,0.75
119,98.0,106.5,0.75,0.5,0.75,0.5
97,90.25,96.6,0.25,0.0,0.25,0
73,90.0,104.5,0.0,0.25,0,0.25
116,102.8,110.2,0.6,0.6,0.6,0.6
108,110.0,105.75,0.6,0.6,0.6,0.6
96,96.4,119.2,0.4,0.4,0.4,0.4
85,97.4,98.8,0.4,0.4,0.4,0.4
76,99.6,102.6,0.8,0.8,0.8,0.8
74,110.8,97.0,0.8,0.8,0.8,0.8
114,97.4,90,0.6,0.25,0.6,0.25
103,97.25,96.4,0.25,0.6,0.25,0.6
104,105.0,91.33333333333333,0.5,0.25,0.5,0.25
91,94.5,101.0,0.25,0.5,0.25,0.5
115,92.33333333333333,96.66666666666667,0.3333333333333333,0.0,0.3333333333333333,0
91,87.16666666666667,92.5,0.0,0.3333333333333333,0,0.3333333333333333
104,105.2,120,0.4,0.6,0.4,0.6
94,103.8,110.0,0.6,0.4,0.6,0.4
91,98.6,90.33333333333333,0.4,1.0,0.4,1
96,94.2,103.2,1.0,0.4,1,0.4
127,88.66666666666667,106.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666
125,102.66666666666667,94.5,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333
110,103.8,91.5,0.6,0.3333333333333333,0.6,0.3333333333333333
111,89.66666666666667,104.375,0.3333333333333333,0.6,0.3333333333333333,0.6
94,107.5,107.33333333333333,0.6666666666666666,0.5,0.6666666666666666,0.5
107,110.5,99.4,0.5,0.6666666666666666,0.5,0.6666666666666666
108,96.6,98.16666666666667,0.4,0.6666666666666666,0.4,0.6666666666666666
90,104.66666666666667,104.33333333333333,0.6666666666666666,0.4,0.6666666666666666,0.4
83,96.75,111.16666666666667,0.5,0.5,0.5,0.5
91,109.66666666666667,94.0,0.5,0.5,0.5,0.5
85,93.8,101.0,0.2,0.6,0.2,0.6
96,104.8,93.86666666666666,0.6,0.2,0.6,0.2
89,93.8,97.0,0.4,0.8333333333333334,0.4,0.8333333333333334
120,95.66666666666667,84.2,0.8333333333333334,0.4,0.8333333333333334,0.4
106,102.2,107.75,0.8,0.4,0.8,0.4
105,105.0,101.2,0.4,0.8,0.4,0.8
101,100.16666666666667,98.8,0.6666666666666666,0.5,0.6666666666666666,0.5
94,96.33333333333333,96.4,0.5,0.6666666666666666,0.5,0.6666666666666666
90,95.33333333333333,105.75,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666
113,105.0,115.33333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333
94,90.33333333333333,110.0,0.5,0.5,0.5,0.5
103,105.0,98.5,0.5,0.5,0.5,0.5
95,94.5,104.33333333333333,1.0,0.5,1,0.5
79,98.5,90.44444444444444,0.5,1.0,0.5,1
85,105.85714285714286,95.85714285714286,0.5714285714285714,0.8571428571428571,0.5714285714285714,0.8571428571428571
109,99.14285714285714,109.0,0.8571428571428571,0.5714285714285714,0.8571428571428571,0.5714285714285714
120,92.71428571428571,117.33333333333333,0.42857142857142855,0.5,0.42857142857142855,0.5
105,102.16666666666667,94.14285714285714,0.5,0.42857142857142855,0.5,0.42857142857142855
96,91.6,94.5,0.4,0.42857142857142855,0.4,0.42857142857142855
81,94.14285714285714,104.5,0.42857142857142855,0.4,0.42857142857142855,0.4
110,105.57142857142857,92.5,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.42857142857142855
104,95.57142857142857,99.4,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.5714285714285714
81,87.71428571428571,94.8,0.0,0.2,0,0.2
100,98.4,99.28571428571429,0.2,0.0,0.2,0
109,103.33333333333333,106.5,0.6666666666666666,0.4,0.6666666666666666,0.4
103,101.8,98.33333333333333,0.4,0.6666666666666666,0.4,0.6666666666666666
109,110.0,103.5,0.5714285714285714,0.7142857142857143,0.5714285714285714,0.7142857142857143
107,106.14285714285714,105.42857142857143,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.5714285714285714
118,104.83333333333333,94.0,0.5,0.4,0.5,0.4
95,94.0,104.375,0.4,0.5,0.4,0.5
105,107.0,107.45833333333333,0.5714285714285714,0.3333333333333333,0.5714285714285714,0.3333333333333333
95,105.0,107.14285714285714,0.3333333333333333,0.5714285714285714,0.3333333333333333,0.5714285714285714
113,102.57142857142857,106.91666666666667,0.5714285714285714,0.3333333333333333,0.5714285714285714,0.3333333333333333
95,102.0,99.57142857142857,0.3333333333333333,0.5714285714285714,0.3333333333333333,0.5714285714285714
116,94.57142857142857,99.11428571428571,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.42857142857142855
95,96.0,115.33333333333333,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.2857142857142857
94,102.57142857142857,98.0,0.42857142857142855,0.3333333333333333,0.42857142857142855,0.3333333333333333
91,94.16666666666667,117.71428571428571,0.3333333333333333,0.42857142857142855,0.3333333333333333,0.42857142857142855
123,103.25,99.4,0.5,0.625,0.5,0.625
117,106.125,109.0,0.625,0.5,0.625,0.5
83,96.125,98.5,0.5,0.42857142857142855,0.5,0.42857142857142855
89,90.85714285714286,94.14285714285714,0.42857142857142855,0.5,0.42857142857142855,0.5
91,104.71428571428571,84.2,0.5714285714285714,0.3333333333333333,0.5714285714285714,0.3333333333333333
95,93.0,107.71428571428571,0.3333333333333333,0.5714285714285714,0.3333333333333333,0.5714285714285714
87,95.71428571428571,94.6875,0.42857142857142855,0.375,0.42857142857142855,0.375
103,96.625,103.0,0.375,0.42857142857142855,0.375,0.42857142857142855
124,106.25,94.6875,0.625,0.375,0.625,0.375
95,92.5,104.1875,0.375,0.625,0.375,0.625
92,100.375,107.10714285714286,0.875,0.2857142857142857,0.875,0.2857142857142857
79,103.57142857142857,94.5,0.2857142857142857,0.875,0.2857142857142857,0.875
111,98.66666666666667,115.33333333333333,0.3333333333333333,0.375,0.3333333333333333,0.375
99,97.25,92.5,0.375,0.3333333333333333,0.375,0.3333333333333333
111,86.875,101.225,0.0,0.375,0,0.375
105,95.875,99.28571428571429,0.375,0.0,0.375,0
90,104.14285714285714,96.4,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
89,100.28571428571429,98.33333333333333,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
107,92.33333333333333,103.2,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333
86,97.33333333333333,93.86666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666
111,109.875,101.2,0.625,0.8333333333333334,0.625,0.8333333333333334
103,102.83333333333333,105.42857142857143,0.8333333333333334,0.625,0.8333333333333334,0.625
106,93.28571428571429,102.02222222222223,0.42857142857142855,0.5555555555555556,0.42857142857142855,0.5555555555555556
109,107.33333333333333,85.17142857142858,0.5555555555555556,0.42857142857142855,0.5555555555555556,0.42857142857142855
116,103.875,102.60000000000001,0.625,0.7142857142857143,0.625,0.7142857142857143
115,102.85714285714286,99.57142857142857,0.7142857142857143,0.625,0.7142857142857143,0.625
104,94.57142857142857,97.42857142857143,1.0,0.2857142857142857,1,0.2857142857142857
77,93.71428571428571,90.44444444444444,0.2857142857142857,1.0,0.2857142857142857,1
80,97.33333333333333,104.5,0.4444444444444444,0.5,0.4444444444444444,0.5
96,92.33333333333333,93.83333333333333,0.5,0.4444444444444444,0.5,0.4444444444444444
113,103.0,109.0,0.5,0.5555555555555556,0.5,0.5555555555555556
103,105.44444444444444,107.71428571428571,0.5555555555555556,0.5,0.5555555555555556,0.5
96,94.66666666666667,98.33333333333333,0.4444444444444444,0.75,0.4444444444444444,0.75
109,102.375,94.14285714285714,0.75,0.4444444444444444,0.75,0.4444444444444444
80,92.77777777777777,96.5625,0.3333333333333333,0.5,0.3333333333333333,0.5
86,90.625,97.94444444444444,0.5,0.3333333333333333,0.5,0.3333333333333333
110,106.71428571428571,107.14285714285714,0.5714285714285714,0.625,0.5714285714285714,0.625
104,106.75,104.375,0.625,0.5714285714285714,0.625,0.5714285714285714
117,100.42857142857143,104.1875,0.42857142857142855,0.6666666666666666,0.42857142857142855,0.6666666666666666
113,108.22222222222223,92.5,0.6666666666666666,0.42857142857142855,0.6666666666666666,0.42857142857142855
98,98.875,103.74285714285715,0.625,0.2857142857142857,0.625,0.2857142857142857
100,95.71428571428571,95.60000000000001,0.2857142857142857,0.625,0.2857142857142857,0.625
82,89.55555555555556,94.5,0.1111111111111111,0.8888888888888888,0.1111111111111111,0.8888888888888888
91,99.44444444444444,99.28571428571429,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.1111111111111111
86,97.44444444444444,103.0,0.3333333333333333,0.375,0.3333333333333333,0.375
89,94.625,114.85185185185183,0.375,0.3333333333333333,0.375,0.3333333333333333
90,94.42857142857143,107.78571428571429,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857
97,101.0,93.86666666666666,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857
81,90.11111111111111,104.375,0.5555555555555556,0.625,0.5555555555555556,0.625
97,107.125,94.72222222222223,0.625,0.5555555555555556,0.625,0.5555555555555556
100,101.5,107.46031746031746,0.5,0.5555555555555556,0.5,0.5555555555555556
108,106.44444444444444,117.71428571428571,0.5555555555555556,0.5,0.5555555555555556,0.5
96,100.5,97.94444444444444,0.25,0.3,0.25,0.3
103,91.5,105.21875,0.3,0.25,0.3,0.25
90,94.875,107.71428571428571,0.375,0.5555555555555556,0.375,0.5555555555555556
110,104.11111111111111,85.17142857142858,0.5555555555555556,0.375,0.5555555555555556,0.375
110,92.85714285714286,90.44444444444444,0.5714285714285714,1.0,0.5714285714285714,1
94,95.75,101.0,1.0,0.5714285714285714,1,0.5714285714285714
122,107.5,92.5,0.6,0.5,0.6,0.5
111,102.5,102.42,0.5,0.6,0.5,0.6
106,108.7,94.14285714285714,0.6,0.4,0.6,0.4
88,94.8,105.46875,0.4,0.6,0.4,0.6
135,96.88888888888889,109.4,0.3333333333333333,0.5,0.3333333333333333,0.5
98,105.2,102.3111111111111,0.5,0.3333333333333333,0.5,0.3333333333333333
79,91.625,104.275,0.25,0.625,0.25,0.625
92,104.375,98.25,0.625,0.25,0.625,0.25
102,105.22222222222223,99.28571428571429,0.6666666666666666,0.1,0.6666666666666666,0.1
88,88.8,99.57142857142857,0.1,0.6666666666666666,0.1,0.6666666666666666
110,110.0,103.025,0.6666666666666666,0.375,0.6666666666666666,0.375
103,96.25,105.42857142857143,0.375,0.6666666666666666,0.375,0.6666666666666666
110,95.6,98.07407407407408,0.4,0.7777777777777778,0.4,0.7777777777777778
118,103.11111111111111,93.83333333333333,0.7777777777777778,0.4,0.7777777777777778,0.4
